particle_id,birth_time_s,x_mm,y_mm,z_mm,vx_m_s,vy_m_s,vz_m_s,mass_amu,charge_state
1,7.160895286205265e-07,-0.14497933067028426,0.08953597396463485,-1.5,-10.93429097829505,61.70552348502184,1963.5391913375124,100.0,1
2,2.386846869461062e-07,0.3506092037418788,-0.037833977303920324,-1.5,131.8390981457307,-29.459953573314387,1959.8887339850978,100.0,1
3,3.172435583121038e-07,0.1663851701197908,-0.47046295706334257,-1.5,-93.25353574104321,-94.36110176364461,1960.054347923005,100.0,1
4,4.0516558809593684e-08,0.18358468242488735,0.18645589801604556,-1.5,-135.0555232884499,-42.6211546668116,1959.4276534412497,100.0,1
5,6.344535552385482e-07,-0.006173702874863655,0.29108224086749895,-1.5,-67.53847563554345,-37.29236855039462,1963.0234639002306,100.0,1
6,1.899932188791979e-07,0.2743981758311713,-0.17236959992950254,-1.5,-138.43407873039337,65.41214771488737,1958.5633875480069,100.0,1
7,6.616935765031117e-07,0.38814013014222154,0.14135422451679314,-1.5,-116.87267973676279,124.20521039172642,1957.1221547744092,100.0,1
8,6.931227939036004e-07,-0.17570054084468753,0.4565896097350835,-1.5,121.99669610817759,43.29130005480695,1960.2693579568052,100.0,1
9,5.387323508690209e-07,0.06073498977823683,-0.1576209735060214,-1.5,37.196580082778766,-114.80955034513168,1960.8285156652087,100.0,1
10,4.504179214462235e-07,0.29781379710335687,0.06949029857304302,-1.5,-45.43225205811501,58.93894347215738,1963.128981417534,100.0,1
11,5.654134556899742e-07,-0.18781362357524353,0.3221248814496432,-1.5,22.240858636326575,110.73922976794206,1961.2892324855234,100.0,1
12,3.1223696066495525e-07,0.4537211323573383,0.03551872931641689,-1.5,81.19258490395669,-45.862287579909946,1962.324565662032,100.0,1
13,1.2544763936693027e-07,0.11535596554115853,0.3139303840674006,-1.5,-74.50395715361621,-0.9641304574536568,1963.1254460902503,100.0,1
14,4.3485108515391465e-07,-0.21016874234848018,-0.12211524982142387,-1.5,-88.23086965399021,-98.4164810289554,1960.0874460513514,100.0,1
