particle_id,birth_time_s,x_mm,y_mm,z_mm,vx_m_s,vy_m_s,vz_m_s,mass_amu,charge_state
1,4.1079981491385884e-05,0.0,0.007682152423157618,80.6,0.0,-117.33537372998104,4391.275309224224,100.0,1
2,4.107998751542231e-05,0.0,0.007691467859189061,80.6,0.0,-117.1063386511243,4391.281423090347,100.0,1
3,4.1079993527663424e-05,0.0,0.007700787433265077,80.6,0.0,-116.87730357226758,4391.2875250022435,100.0,1
4,4.107999952810937e-05,0.0,0.007710111137242848,80.6,0.0,-116.64826849341084,4391.293614959964,100.0,1
5,4.108000551676031e-05,0.0,0.007719438963022185,80.6,0.0,-116.41923341455411,4391.2996929635565,100.0,1
6,4.1080011493616375e-05,0.0,0.007728770902460269,80.6,0.0,-116.19019833569737,4391.305759013071,100.0,1
7,4.108001745867772e-05,0.0,0.007738106947456913,80.6,0.0,-115.96116325684063,4391.311813108558,100.0,1
8,4.108002341194448e-05,0.0,0.007747447089883508,80.6,0.0,-115.73212817798391,4391.317855250067,100.0,1
9,4.108002935341681e-05,0.0,0.007756791321611445,80.6,0.0,-115.50309309912717,4391.323885437647,100.0,1
10,4.108003528309486e-05,0.0,0.007766139634526326,80.6,0.0,-115.27405802027045,4391.329903671346,100.0,1
11,4.108004120097877e-05,0.0,0.0077754920204995415,80.6,0.0,-115.0450229414137,4391.335909951215,100.0,1
12,4.108004710706868e-05,0.0,0.007784848471430905,80.6,0.0,-114.81598786255697,4391.341904277302,100.0,1
13,4.1080053001364744e-05,0.0,0.007794208979177597,80.6,0.0,-114.58695278370024,4391.347886649656,100.0,1
14,4.10800588838671e-05,0.0,0.00780357353563943,80.6,0.0,-114.3579177048435,4391.353857068327,100.0,1
15,4.1080064754575894e-05,0.0,0.007812942132673584,80.6,0.0,-114.12888262598676,4391.359815533361,100.0,1
16,4.108007061349127e-05,0.0,0.007822314762179872,80.6,0.0,-113.89984754713004,4391.36576204481,100.0,1
17,4.1080076460613373e-05,0.0,0.007831691416029685,80.6,0.0,-113.6708124682733,4391.3716966027205,100.0,1
18,4.1080082295942345e-05,0.0,0.007841072086108625,80.6,0.0,-113.44177738941657,4391.377619207142,100.0,1
19,4.1080088119478334e-05,0.0,0.007850456764288083,80.6,0.0,-113.21274231055983,4391.383529858122,100.0,1
20,4.108009393122148e-05,0.0,0.007859845442453661,80.6,0.0,-112.9837072317031,4391.389428555709,100.0,1
21,4.1080099731171915e-05,0.0,0.007869238112490962,80.6,0.0,-112.75467215284311,4391.395315299951,100.0,1
22,4.1080105519329785e-05,0.0,0.007878634766285586,80.6,0.0,-112.52563707398637,4391.401190090897,100.0,1
23,4.108011129569525e-05,0.0,0.007888035395708926,80.6,0.0,-112.29660199512965,4391.407052928595,100.0,1
24,4.108011706026843e-05,0.0,0.007897439992632371,80.6,0.0,-112.06756691627291,4391.41290381309,100.0,1
25,4.108012281304947e-05,0.0,0.007906848548969947,80.6,0.0,-111.83853183741618,4391.418742744434,100.0,1
26,4.108012855403852e-05,0.0,0.007916261056564622,80.6,0.0,-111.60949675855944,4391.4245697226725,100.0,1
27,4.1080134283235715e-05,0.0,0.00792567750733042,80.6,0.0,-111.3804616797027,4391.430384747852,100.0,1
28,4.10801400006412e-05,0.0,0.00793509789312452,80.6,0.0,-111.15142660084598,4391.4361878200225,100.0,1
29,4.108014570625511e-05,0.0,0.007944522205846738,80.6,0.0,-110.92239152198924,4391.44197893923,100.0,1
30,4.108015140007758e-05,0.0,0.007953950437368462,80.6,0.0,-110.69335644313252,4391.447758105521,100.0,1
31,4.108015708210877e-05,0.0,0.007963382579589506,80.6,0.0,-110.46432136427578,4391.453525318944,100.0,1
32,4.1080162752348795e-05,0.0,0.00797281862436705,80.6,0.0,-110.23528628541904,4391.459280579546,100.0,1
33,4.1080168410797806e-05,0.0,0.007982258563615119,80.6,0.0,-110.00625120656231,4391.465023887374,100.0,1
34,4.1080174057455934e-05,0.0,0.007991702389190891,80.6,0.0,-109.77721612770557,4391.470755242474,100.0,1
35,4.108017969232333e-05,0.0,0.00800115009297997,80.6,0.0,-109.54818104884885,4391.476474644894,100.0,1
36,4.1080185315400123e-05,0.0,0.008010601666867956,80.6,0.0,-109.3191459699921,4391.482182094679,100.0,1
37,4.1080190926686455e-05,0.0,0.008020057102754663,80.6,0.0,-109.09011089113537,4391.487877591878,100.0,1
38,4.108019652618246e-05,0.0,0.008029516392511482,80.6,0.0,-108.86107581227864,4391.493561136535,100.0,1
39,4.1080202113888275e-05,0.0,0.008038979528024015,80.6,0.0,-108.6320407334219,4391.499232728698,100.0,1
40,4.108020768980404e-05,0.0,0.008048446501163653,80.6,0.0,-108.40300565456516,4391.5048923684135,100.0,1
41,4.108021325392989e-05,0.0,0.008057917303830209,80.6,0.0,-108.17397057570844,4391.510540055727,100.0,1
42,4.1080218806265966e-05,0.0,0.008067391927909284,80.6,0.0,-107.9449354968517,4391.516175790684,100.0,1
43,4.1080224346812395e-05,0.0,0.00807687036527227,80.6,0.0,-107.71590041799497,4391.521799573332,100.0,1
44,4.108022987556932e-05,0.0,0.00808635260781898,80.6,0.0,-107.48686533913823,4391.527411403716,100.0,1
45,4.108023539253687e-05,0.0,0.008095838647420806,80.6,0.0,-107.2578302602815,4391.533011281882,100.0,1
46,4.108024089771519e-05,0.0,0.008105328475977558,80.6,0.0,-107.02879518142477,4391.538599207875,100.0,1
47,4.1080246391104405e-05,0.0,0.008114822085360629,80.6,0.0,-106.79976010256803,4391.5441751817425,100.0,1
48,4.108025187270465e-05,0.0,0.00812431946745562,80.6,0.0,-106.5707250237113,4391.549739203528,100.0,1
49,4.108025734251607e-05,0.0,0.008133820614148135,80.6,0.0,-106.34168994485456,4391.555291273278,100.0,1
50,4.108026280053879e-05,0.0,0.008143325517337985,80.6,0.0,-106.11265486599783,4391.560831391038,100.0,1
51,4.1080268246772945e-05,0.0,0.008152834168896561,80.6,0.0,-105.8836197871411,4391.566359556853,100.0,1
52,4.1080273681218665e-05,0.0,0.008162346560709466,80.6,0.0,-105.65458470828436,4391.571875770767,100.0,1
53,4.108027910387609e-05,0.0,0.008171862684676512,80.6,0.0,-105.42554962942764,4391.577380032827,100.0,1
54,4.1080284514745354e-05,0.0,0.00818138253266909,80.6,0.0,-105.1965145505709,4391.582872343076,100.0,1
55,4.108028991382658e-05,0.0,0.008190906096587014,80.6,0.0,-104.96747947171416,4391.588352701561,100.0,1
56,4.108029530111991e-05,0.0,0.008200433368301674,80.6,0.0,-104.73844439285743,4391.593821108325,100.0,1
57,4.108030067662548e-05,0.0,0.008209964339712883,80.6,0.0,-104.50940931400069,4391.599277563413,100.0,1
58,4.1080306040343404e-05,0.0,0.008219499002706243,80.6,0.0,-104.28037423514397,4391.604722066871,100.0,1
59,4.108031139227382e-05,0.0,0.008229037349153145,80.6,0.0,-104.05133915628723,4391.61015461874,100.0,1
60,4.108031673241687e-05,0.0,0.008238579370953403,80.6,0.0,-103.82230407743049,4391.615575219069,100.0,1
61,4.108032206077267e-05,0.0,0.008248125059992617,80.6,0.0,-103.59326899857051,4391.620983867898,100.0,1
