particle_id,birth_time_s,x_mm,y_mm,z_mm,vx_m_s,vy_m_s,vz_m_s,mass_amu,charge_state
1,4.1079981491385884e-05,0.0,0.007682152423157618,80.6,0.0,-117.33537372998104,4391.275309224224,100.0,1
2,4.108004710706868e-05,0.0,0.007784848471430905,80.6,0.0,-114.81598786255697,4391.341904277302,100.0,1
3,4.108011129569525e-05,0.0,0.007888035395708926,80.6,0.0,-112.29660199512965,4391.407052928595,100.0,1
4,4.108017969232333e-05,0.0,0.00800115009297997,80.6,0.0,-109.54818104884885,4391.476474644894,100.0,1
5,4.108024089771519e-05,0.0,0.008105328475977558,80.6,0.0,-107.02879518142477,4391.538599207875,100.0,1
6,4.108030067662548e-05,0.0,0.008209964339712883,80.6,0.0,-104.50940931400069,4391.599277563413,100.0,1
7,4.1080359029231434e-05,0.0,0.008315046884547428,80.6,0.0,-101.99002344657337,4391.658509771453,100.0,1
8,4.1080421060128726e-05,0.0,0.008430179138400717,80.6,0.0,-99.24160250029256,4391.721477469152,100.0,1
9,4.1080476431016044e-05,0.0,0.008536160764435863,80.6,0.0,-96.7222166328685,4391.77768610164,100.0,1
10,4.108053037612006e-05,0.0,0.0086425557045402,80.6,0.0,-94.20283076544116,4391.832448762866,100.0,1
11,4.1080582895600656e-05,0.0,0.008749353167786467,80.6,0.0,-91.68344489801709,4391.885765506918,100.0,1
12,4.108063398961351e-05,0.0,0.008856542365194287,80.6,0.0,-89.16405903059302,4391.937636386455,100.0,1
13,4.1080688102974366e-05,0.0,0.008973910130961826,80.6,0.0,-86.4156380843122,4391.99257385815,100.0,1
14,4.108073621694809e-05,0.0,0.009081883553847092,80.6,0.0,-83.89625221688489,4392.041421730289,100.0,1
15,4.108078290590844e-05,0.0,0.009190215375170396,80.6,0.0,-81.37686634946081,4392.088823891634,100.0,1
16,4.108082816999374e-05,0.0,0.009298894813582592,80.6,0.0,-78.85748048203675,4392.134780388995,100.0,1
17,4.1080875924089276e-05,0.0,0.009417837990085332,80.6,0.0,-76.10905953575268,4392.183266029235,100.0,1
18,4.1080918209318834e-05,0.0,0.00952720943266172,80.6,0.0,-73.58967366832862,4392.226199919585,100.0,1
19,4.108095907007422e-05,0.0,0.009636895178644522,80.6,0.0,-71.07028780090454,4392.267688281596,100.0,1
20,4.10809985064765e-05,0.0,0.00974688445333527,80.6,0.0,-68.55090193348046,4392.307731156227,100.0,1
