stage,index,z_center_mm,voltage_V
stage1,1,630.739090909091,145.454545454545
stage1,2,641.648181818182,290.909090909091
stage1,3,652.557272727273,436.363636363636
stage1,4,663.466363636364,581.818181818182
stage1,5,674.375454545455,727.272727272727
stage1,6,685.284545454546,872.727272727273
stage1,7,696.193636363636,1018.18181818182
stage1,8,707.102727272727,1163.63636363636
stage1,9,718.011818181818,1309.09090909091
stage1,10,728.920909090909,1454.54545454545
stage2,1,754.302133333333,1733.33333333333
stage2,2,768.774266666667,1866.66666666667
stage2,3,783.2464,2000
stage2,4,797.718533333333,2133.33333333333
stage2,5,812.190666666667,2266.66666666667
